prod_id,prod_desc,prod_long_desc,theme_name,prod_id,ages,piece_count,set_name,prod_id,country,list_price,prod_id,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
75823,blah,blahblah,Angry Birds™,75823,6-12,277,Bird Island Egg Heist,75823,US,29.99,75823,2.0,4.0,Average,4.5,4.0
75822,blah,blahblah,Angry Birds™,75822,6-12,168,Piggy Plane Attack,75822,US,19.99,75822,2.0,4.0,Easy,5.0,4.0
75821,blah,blahblah,Angry Birds™,75821,6-12,74,Piggy Car Escape,75821,US,12.99,75821,11.0,4.3,Easy,4.3,4.1
21030,blah,blahblah,Architecture,21030,12+,1032,United States Capitol Building,21030,US,99.99,21030,23.0,3.6,Average,4.6,4.3
21035,blah,blahblah,Architecture,21035,12+,744,Solomon R. Guggenheim Museum®,21035,US,79.99,21035,14.0,3.2,Challenging,4.6,4.1
21039,blah,blahblah,Architecture,21039,12+,597,Shanghai,21039,US,59.99,21039,7.0,3.7,Average,4.9,4.4
21028,blah,blahblah,Architecture,21028,12+,598,New York City,21028,US,59.99,21028,37.0,3.7,Average,4.2,4.1
21029,blah,blahblah,Architecture,21029,12+,780,Buckingham Palace,21029,US,49.99,21029,24.0,4.4,Average,4.7,4.3
21034,blah,blahblah,Architecture,21034,12+,468,London,21034,US,39.99,21034,23.0,3.6,Average,4.7,4.1
21033,blah,blahblah,Architecture,21033,12+,444,Chicago,21033,US,39.99,21033,11.0,3.6,Average,4.8,4.5
21036,blah,blahblah,Architecture,21036,12+,386,Arc de Triomphe,21036,US,39.99,21036,14.0,4.1,Average,4.4,3.6
21019,blah,blahblah,Architecture,21019,12+,321,The Eiffel Tower,21019,US,34.99,21019,53.0,3.2,Average,4.6,4.4
21032,blah,blahblah,Architecture,21032,12+,361,Sydney,21032,US,29.99,21032,7.0,4.2,Easy,4.6,4.2
17101,blah,blahblah,BOOST,17101,7-12,847,BOOST Creative Toolbox,17101,US,159.99,17101,63.0,3.8,Average,3.4,3.5
41597,blah,blahblah,BrickHeadz,41597,10+,708,Go Brick Me,41597,US,29.99,41597,13.0,4.7,Average,4.8,4.8
41614,blah,blahblah,BrickHeadz,41614,10+,234,Owen & Blue,41614,US,19.99,41614,1.0,3.0,Easy,5.0,5.0
41613,blah,blahblah,BrickHeadz,41613,10+,160,Mr. Incredible & Frozone,41613,US,19.99,41613,1.0,5.0,Very Easy,5.0,5.0
41609,blah,blahblah,BrickHeadz,41609,10+,149,Chewbacca™,41609,US,9.99,41609,1.0,2.0,Very Easy,3.0,4.0
41608,blah,blahblah,BrickHeadz,41608,10+,141,Han Solo™,41608,US,9.99,41608,1.0,2.0,Very Easy,4.0,4.0
